,RENT_ID,RENT_NM_x,USE_CNT,MOVE_METER,평균이동거리,RENT_NM_y,LAT,LONG
0,102,102. 망원역 1번출구 앞,49800,123226778.16,2474.4332963855422,102. 망원역 1번출구 앞,37.5556488,126.91062927
1,103,103. 망원역 2번출구 앞,40913,118405311.03,2894.075502407548,103. 망원역 2번출구 앞,37.55495071,126.91083527
2,104,104. 합정역 1번출구 앞,24364,70558141.63,2895.999902725332,104. 합정역 1번출구 앞,37.55073929,126.91508484
3,105,105. 합정역 5번출구 앞,13921,40760967.9,2928.0201063142013,105. 합정역 5번출구 앞,37.55000687,126.91482544
4,106,106. 합정역 7번출구 앞,36861,159713871.48,4332.8686546756735,106. 합정역 7번출구 앞,37.54864502,126.91282654
5,107,107. 수협 연남동지점,29364,61656513.64,2099.73142759842,107. 수협 연남동지점,37.55784607,126.91871643
6,108,108. 서교동 사거리,23742,68968376.13,2904.9101225676013,108. 서교동 사거리,37.55274582,126.91861725
7,109,109. 제일빌딩 앞,988,2989345.82,3025.653663967611,109. 제일빌딩 앞,37.54769135,126.91998291
8,111,111. 상수역 2번출구 앞,22809,91318412.88,4003.6131737472047,111. 상수역 2번출구 앞,37.54787064,126.92353058
9,112,112. 극동방송국 앞,8161,29563958.79,3622.5902205612056,112. 극동방송국 앞,37.54920197,126.92320251
10,113,113. 홍대입구역 2번출구 앞,81751,163468914.12,1999.5952847059975,113. 홍대입구역 2번출구 앞,37.5574379,126.9238205
11,114,114. 홍대입구역 8번출구 앞,28589,80354199.14,2810.6684088285706,114. 홍대입구역 8번출구 앞,37.55706024,126.92442322
12,115,115. 마스타 빌딩 앞,14737,34869646.19,2366.129211508448,115. 마스타 빌딩 앞,37.55893326,126.92711639
13,117,117. 홍은사거리,43778,209412768.55,4783.516116542556,117. 홍은사거리,37.59115982,126.94132996
14,118,118. 광흥창역 2번출구 앞,10867,26453135.93,2434.262991626024,118. 광흥창역 2번출구 앞,37.54773331,126.9317627
15,119,119. 서강나루 공원,24806,110750393.58,4464.661516568572,119. 서강나루 공원,37.54520798,126.93146515
16,120,120. 신수동 사거리,7779,22156201.8,2848.2069417662938,120. 신수동 사거리,37.54524231,126.93411255
17,121,121. 마포소방서 앞,11098,31545685.01,2842.4657604973872,121. 마포소방서 앞,37.54976654,126.93317413
18,122,122. 신성기사식당 앞,12016,32880484.29,2736.391835053262,122. 신성기사식당 앞,37.54745865,126.93837738
19,123,123. 문화촌 공원,28109,139578380.0,4965.611725781778,123. 문화촌 공원,37.59432983,126.9473877
20,124,124. 서강대 정문 건너편,16713,36349435.17,2174.919833064082,124. 서강대 정문 건너편,37.55113983,126.93698883
21,126,126. 서강대 후문 옆,12538,30050211.51,2396.7308589886748,126. 서강대 후문 옆,37.55041122,126.94384766
22,127,127. 현대벤처빌 앞,3318,7202555.76,2170.7521880650993,127. 현대벤처빌 앞,37.5535202,126.93695068
23,128,128. 신촌역(2호선) 1번출구 옆,14276,38005547.19,2662.1985983468758,128. 신촌역(2호선) 1번출구 옆,37.55549622,126.93634033
24,129,129. 신촌역(2호선) 6번출구 옆,10152,28121361.72,2770.0316903073285,129. 신촌역(2호선) 6번출구 옆,37.55505371,126.93756866
25,130,130. 신촌역(2호선) 7번출구 앞,28666,78922395.12,2753.1708337403197,130. 신촌역(2호선) 7번출구 앞,37.55485916,126.93615723
26,131,131. 증산2교,30794,114427433.25,3715.900280898876,131. 증산2교,37.5841713,126.91110229
27,133,133. 해담는다리,28816,104363733.66,3621.7286805941144,133. 해담는다리,37.58203125,126.90899658
28,134,134. 연세로 명물길,9672,25176076.4,2602.9855665839536,134. 연세로 명물길,37.55789185,126.93807983
29,135,135. 명물길 원형무대 앞,7560,19957006.28,2639.8156455026456,135. 명물길 원형무대 앞,37.55922699,126.93984222
